addr,population_count,area,density
전라북도 남원시,84026,752.2,111.71
경상북도 안동시,167805,1521.94,110.26
경상북도 영천시,100291,919.31,109.09
경상남도 고성군,54633,517.71,105.53
전라남도 담양군,47224,455.03,103.78
전라북도 고창군,59287,607.85,97.54
충청북도 옥천군,52120,537.11,97.04
충청남도 금산군,54368,577.14,94.2
전라남도 영암군,56607,603.46,93.8
경상북도 고령군,34092,384.09,88.76
전라남도 장성군,45991,518.43,88.71
전라남도 함평군,34291,392.13,87.45
전라남도 고흥군,67532,807.33,83.65
전라남도 화순군,65185,786.86,82.84
경상북도 문경시,74446,911.71,81.66
경상북도 상주시,101713,1254.8,81.06
경상남도 거창군,63221,803.14,78.72
전라남도 강진군,37583,500.94,75.02
경기도 가평군,62373,843.66,73.93
전라남도 해남군,74701,1013.26,73.72
경상북도 성주군,45062,616.12,73.14
전라남도 진도군,32023,440.13,72.76
경상남도 하동군,49039,675.58,72.59
경상북도 예천군,46268,661.38,69.96
경기도 연천군,45822,676.01,67.78
충청남도 청양군,32413,479.21,67.64
전라남도 보성군,44335,663.77,66.79
전라남도 신안군,42559,655.81,64.9
전라남도 장흥군,40220,622.47,64.61
경상북도 청도군,43593,693.84,62.83
전라남도 구례군,27112,443.24,61.17
전라북도 순창군,29528,495.97,59.54
충청북도 영동군,50152,845.72,59.3
충청북도 보은군,34246,584.26,58.61
경상남도 의령군,28030,482.87,58.05
강원도 삼척시,68812,1187.09,57.97
경상남도 함양군,40033,725.47,55.18
전라남도 곡성군,30205,547.46,55.17
강원도 철원군,47745,889.46,53.68
경상북도 영덕군,38944,741.11,52.55
경상북도 울진군,51564,989.44,52.11
전라북도 임실군,29606,597.34,49.56
경상남도 합천군,47509,983.48,48.31
강원도 횡성군,46013,997.73,46.12
경상북도 의성군,53968,1175.13,45.92
충청북도 괴산군,38520,842.34,45.73
경상남도 산청군,36113,794.83,45.43
강원도 고성군,29188,661.11,44.15
전라북도 장수군,23357,533.27,43.8
강원도 양양군,27254,630.08,43.25
경상북도 군위군,24324,614.23,39.6
전라북도 무주군,24882,631.85,39.38
충청북도 단양군,30417,781.11,38.94
강원도 홍천군,70067,1819.83,38.5
강원도 양구군,23749,661.89,35.88
강원도 영월군,40085,1127.62,35.55
전라북도 진안군,25983,789.18,32.92
강원도 정선군,38498,1219.73,31.56
경상북도 청송군,26234,846.05,31.01
강원도 평창군,43177,1463.83,29.5
강원도 화천군,26022,908.92,28.63
경상북도 봉화군,33431,1201.96,27.81
경상북도 영양군,17664,815.25,21.67
강원도 인제군,32532,1645.17,19.77
